 | V:  48.68000 | I:   5.41000 | Tank:  26.49000 | | Add_Tank:  50.00000 |
 | V:  48.56000 | I:  11.42000 | Tank:  26.49000 | | Add_Tank:  50.00000 |
 | V:  48.53000 | I:  11.86000 | Tank:  26.49000 | | Add_Tank:  50.00000 |
 | V:  48.53000 | I:  10.98000 | Tank:  26.49000 | | Add_Tank:  50.00000 |
 | V:  48.51000 | I:  11.05000 | Tank:  26.49000 | | Add_Tank:  50.00000 |
 | V:  48.50000 | I:  11.38000 | Tank:  26.48000 | | Add_Tank:  50.00000 |
 | V:  48.48000 | I:  11.49000 | Tank:  26.48000 | | Add_Tank:  50.00000 |
 | V:  48.47000 | I:  11.75000 | Tank:  26.47000 | | Add_Tank:  50.00000 |
 | V:  48.45000 | I:  12.05000 | Tank:  26.47000 | | Add_Tank:  50.00000 |
 | V:  48.44000 | I:  12.12000 | Tank:  26.46000 | | Add_Tank:  50.00000 |
 | V:  48.43000 | I:  12.20000 | Tank:  26.45000 | | Add_Tank:  50.00000 |
 | V:  48.41000 | I:  12.23000 | Tank:  26.44000 | | Add_Tank:  50.00000 |
 | V:  48.41000 | I:  12.31000 | Tank:  26.44000 | | Add_Tank:  50.00000 |
 | V:  48.40000 | I:  12.31000 | Tank:  26.43000 | | Add_Tank:  50.00000 |
 | V:  48.39000 | I:  12.50000 | Tank:  26.42000 | | Add_Tank:  50.00000 |
 | V:  48.38000 | I:  12.42000 | Tank:  26.42000 | | Add_Tank:  50.00000 |
 | V:  48.37000 | I:  12.50000 | Tank:  26.41000 | | Add_Tank:  50.00000 |
 | V:  48.37000 | I:  12.57000 | Tank:  26.40000 | | Add_Tank:  50.00000 |
 | V:  48.35000 | I:  12.60000 | Tank:  26.39000 | | Add_Tank:  50.00000 |
 | V:  48.35000 | I:  12.72000 | Tank:  26.39000 | | Add_Tank:  50.00000 |
 | V:  48.33000 | I:  12.79000 | Tank:  26.38000 | | Add_Tank:  50.00000 |
 | V:  48.33000 | I:  12.75000 | Tank:  26.37000 | | Add_Tank:  50.00000 |
 | V:  48.32000 | I:  12.75000 | Tank:  26.37000 | | Add_Tank:  50.00000 |
 | V:  48.31000 | I:  12.72000 | Tank:  26.36000 | | Add_Tank:  50.00000 |
 | V:  48.30000 | I:  12.75000 | Tank:  26.35000 | | Add_Tank:  50.00000 |
 | V:  48.30000 | I:  12.79000 | Tank:  26.34000 | | Add_Tank:  50.00000 |
 | V:  48.29000 | I:  12.83000 | Tank:  26.34000 | | Add_Tank:  50.00000 |
 | V:  48.29000 | I:  12.79000 | Tank:  26.33000 | | Add_Tank:  50.00000 |
